0400 - Fornitore;t_cotp;NrOdA;t_odat;t_pono;t_item;4050 - Qta Ordinata (kg);4050 - Importo Ordinato
BP0000649;CLA;CLA000001;31/08/2020;10;NSZV060D1TM2;1134;0
BP0001315;CLA;CLA000002;03/09/2020;10;NSZV050D1B91;7665;0
BP0001315;CLA;CLA000003;16/09/2020;10;NSZV045D1B21;6070;0
BP0001315;CLA;CLA000003;16/09/2020;20;NSZV050D1B91;7440;0
BP0001315;CLA;CLA000004;22/09/2020;10;NSZV080D1B91;5940;0
BP0001315;CLA;CLA000004;22/09/2020;20;NSZV080D1B91;7020;0
BP0005018;CLA;CLA000005;22/09/2020;10;NSZV050D1B91;22025;0
BP0001315;CLA;CLA000006;02/10/2020;10;NSZV050D1B91;29170;0
BP0001315;CLA;CLA000007;05/10/2020;10;NSZV050D1B91;28730;0
BP0002265;CLA;CLA000008;09/10/2020;10;NSAV070AT2L;1055,5;0
BP0002265;CLA;CLA000008;09/10/2020;20;NSAV070KB2L;1058,5;0
BP0000653;CLA;CLA000009;13/10/2020;10;NSZV060D1TM1;1268;0
BP0000653;CLA;CLA000009;13/10/2020;20;NSZV060D1SI1;1293;0
BP0001315;CLA;CLA000010;20/10/2020;10;NSZV080D1B91;29120;0
BP0001315;CLA;CLA000011;22/10/2020;10;NSZV080D1B91;4420;0
BP0001315;CLA;CLA000012;22/10/2020;10;NSZV050D1B91;28670;0
BP0001315;CLA;CLA000013;23/10/2020;10;NSZV050D1B91;28820;0
BP0001988;CLA;CLA000014;02/11/2020;10;NSZV065D1BG1;5445;0
BP0001129;CLA;CLA000015;13/11/2020;10;NSAI0403162B;1985;0
BP0001315;CLA;CLA000016;27/11/2020;10;NSAI0703042B;5000;0
BP0001315;CLA;CLA000017;30/11/2020;10;NSZV050D1B91;23230;0
BP0001315;CLA;CLA000017;30/11/2020;20;NSZV050D1B91;6570;0
BP0001315;CLA;CLA000018;03/12/2020;10;NSZV080D1B91;29070;0
BP0001315;CLA;CLA000019;11/12/2020;10;NSZV050D1B91;11600;0
BP0002265;CLA;CLA000020;14/12/2020;10;NSAV070AT2L;1046,5;0
BP0001315;CLA;CLA000021;15/12/2020;10;NSZV050D1B91;0;0
